iter	Passed	Remaining
0	1	153
1	2	146
2	4	144
3	5	133
4	7	134
5	8	133
6	9	132
7	11	130
8	12	129
9	13	125
10	15	124
11	16	121
12	17	119
13	18	116
14	20	113
15	21	111
16	22	109
17	23	106
18	24	104
19	25	101
20	26	100
21	27	97
22	28	95
23	29	93
24	30	92
25	31	90
26	32	88
27	33	86
28	34	85
29	35	83
30	36	82
31	37	80
32	38	78
33	39	77
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	45	68
40	46	67
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	75	28
73	76	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	97	3
97	98	2
98	99	1
99	100	0
